,News,Label
796,UPDATE 1-India announces first formal meeting with Taliban,0
577,EXPLAINER-India's wheat exports surge as world prices soar,0
497,India's parliament passes bill to repeal controversial farm laws,0
1305,"Parler sues Amazon over Web shutdown, alleges political animus",1
572,EU's Vestager says to study Amazon tax setback before deciding next steps,1
91,India to waive transmission costs for green hydrogen manufacturers,0
190,Rivian's electric van for Amazon raises battery power doubts - The Information,1
943,India's Bharti Airtel to invest $673 mln on data centre expansion,0
1458,Amazon launches Fire tablet in China,1
402,Amazon scores big win as India court stalls Future's $3.4 billion retail deal,1
1127,Amazon-owned Twitch says source code exposed in last week's data breach,1
1025,India planning financial support for setting up hydrogen manufacturing plants,0
1413,EXCLUSIVE-Roughly 500 ballots challenged in Amazon's landmark union election,1
1574,"Amazon strikes deal with Apple to sell iPhones, iPads",1
413,British watchdog plans investigation into Amazon's use of data - FT,1
1388,Road to ruin: informal byways sow seeds of destruction in Colombia's Amazon,1
520,"Boat carrying dozens sinks in India's northeast, one dead",0
141,Amazon Web Services disruption in Japan has been resolved - Kyodo,1
510,"Amazon brings James Bond, Rocky to fight Netflix with $8.5 billion MGM buy",1
761,"U.S. congressman presses Facebook, Amazon on efforts to curb vaccine misinformation",1
592,Climate activists target Amazon depots in Britain on 'Black Friday',1
791,"After Flipkart, Amazon files appeal at India's Supreme Court in antitrust probe",1
165,Judge dismisses fired Amazon worker's lawsuit alleging discrimination,1
423,G7 countries devise way to catch Amazon in tax net -sources,1
1053,Endangered lungs: Forest fire smoke threatens COVID-recovering Amazon communities,1
387,India's Future files new case against Amazon in top court over $3.4 billion retail deal,1
225,India's top carmaker sees hydrogen as 'interesting alternative',0
196,Spain looks into antitrust practices by Apple and Amazon,1
596,Coal India ramps up supplies to address shortage at utilities,0
989,Ford's India factory workers seek government help to safeguard jobs,0
581,UPDATE 1-Colgate in talks with India sales agents after disruption threat,0
459,EXCLUSIVE-Amazon starts testing UK staff for coronavirus variants,1
815,India's antitrust body orders Google inquiry after news publishers complain,0
828,"SoftBank, Amazon, Accel invest $108 million in banking platform Pismo",1
640,India to introduce new policy for battery swapping in clean mobility push,0
139,Amazon may drop Visa as partner on U.S. credit card,1
1072,Amazon reviewing bids to replace JPMorgan as credit card partner - source,1
839,India reports first death linked to Omicron coronavirus variant,0
6,India's Omicron cases jump to 101,0
1629,Amazon receives 238 proposals for its second headquarters,1
411,Amazon scores big win as India court stalls Future's $3.4 billion retail deal,1
1365,"BRIEF-Amazon ‍introduces 'Amazon Cloud Cam,' an indoor security camera",1
763,"India, U.S. to expand farm trade, aim to resolve market access issues",0
788,Foxconn India's iPhone plant restarts production after Dec protests,0
342,Exxon eyes more long-term gas supply deals with India,0
44,"India's daily COVID-19 cases rise by 27,553",0
